reviewId,content,score
2225e5c9-4669-4a0b-a603-ad1216782993,good,5
c7912f6e-94e6-4eee-8ca0-0e7d052c59a4,Great game,5
618d3a26-cfec-4e49-a38c-c128f1945552,This game is addicting and exciting.,5
debdb003-524c-41db-98d3-fe7d7c94b55c,Best game 🎯,5
5d9c3b18-023c-48c7-9d17-8d57cd7f8d2a,"we need to get paid to play, I noticed some updates",3
327d55e3-434c-410e-8395-63f607e09498,nice game,5
e62236da-5709-4324-a26a-2cf673eabf0f,love this game,5
e8c10a42-1e7f-481a-8cfe-7b53eb03410f,good for passing time !,5
240bc1ba-c5be-4f32-9864-191d082a02e9,Amazing game,5
076f0cb8-f597-41ac-a143-5f75bdb1d4d3,it is fun to play,5
df5a1acf-8984-46bc-93e8-2d81563524c4,"Yes, I am having fun",3
d71eb6d5-a298-4862-861d-6e41049dcc24,"The Planes: Sky Bomber ad does not give you the option to exit. Therefore, I will have to stop playing until it's fixed. I'll be back in a month or so.",3
5867087c-06d0-49e0-9049-cda7ff193f3a,love this game!,5
e265b5c4-b390-466c-8af7-1f6f07f39c42,candy crush iiii one of the most exciting and amusing fun games in the history of candy see it at the play store still clashing and matching points very seccessfuly rate us,5
c3ec4fb5-6a20-4d43-b0e7-d006944b824a,wonder ful,5
5c8a1fa6-81ee-42eb-8286-310b4b03e80c,nice,5
c7b99ab0-d061-4975-8745-144d9649f399,"nice app,great games,addictive love it 😊",5
26674c9b-f2e4-41fb-96b5-6a63af419e04,حلو,5
d65dcc47-f1ba-405c-91b4-d8dae3b2e2f4,It's fun,5
366b99e6-440c-4776-ba1d-886f53e9706f,great,5
eb68364a-7917-47d3-926b-1b8b081de6aa,☺️,5
f6fc252b-6fcf-4d9d-a7ae-91e6eb8137c6,it fun and a thinking game good for people with Parkinson like me,5
8b95aab9-61f9-4def-aaef-651830692f03,Great game.,5
a0e86dd9-bfa6-4d30-ae62-b1ca46933b66,saat butuh bantuan dengan melihat iklan kok selalu gak bisa..kluar2 sendiri dr game..tolong diperbaiki,4
7a82cf8b-bdf9-473f-86fa-469c48f7f991,best experience,5
e0f6c9c5-7a30-43ec-9d91-f4162e9132f4,"Brilliant game, love this, so addictive, won't ever stop playing :)..",5
c8d2ce20-9f37-406a-a412-7639eb32e494,l have been playing this game for ten plus years it has become very deceptive if you explode a color bomb it takes out all of your best moves the temu ads takes at least three clicks to get out of automatically takes you to play store and I know they are going to say it's run by algorithm it's totally fixed to destroy any chance of beating it with out watching an ad seriously considering deleting it very disappointed,1
e7b2d74d-e226-4d6d-a892-6313a45f38f9,Great game,5
8c54e5e3-b457-4ca8-91c3-d82885a0e3dc,"The game is fun to play, but the ads are getting to be too much. When I watch an ad to get more moves, mostly Temu ads, I get kicked out of the game and have to start that level over. Gets very frustrating.",3
0b569e88-73af-4425-b341-0c1ef1ef062f,good game 👍😁 only remove pig bank picture,5
b50d93f2-4264-4337-96ba-b23e2f950318,LOVE THIS GAME,5
ee6c3803-1383-4218-a973-03f28a8b98a6,real good,5
0fbe9a80-3c24-41c2-bef0-c994dbd60044,ok game,4
3e2e7e17-bd9b-449b-9f07-bf58b332ddc2,Great games. definitely addicting,5
ff0d489a-0109-429a-b7d1-9eb3ae6f9ce3,great game so much fun,5
72ebe3f4-33cf-498f-9afe-0272f64eb2f8,good,5
71242ff6-a1e8-43f9-a255-73701ec7b875,lovely day,4
962298f5-9d80-4b83-9b30-95bbcd37b84e,Love this game it is additictive it just keeps getting better and better and i cant wait to see what is next.Keep on going with it. it keeps getting better,5
fb394ed3-dcbc-461d-be59-e4920eff9399,wonderfully good,2
308226b8-d264-40b2-a02f-f57d46c6286e,awesome,5
ff73e659-b1bb-47a1-a390-4398840b6719,challenging and entertaining sometimes hard to put down!! So just PLAY!...play Play PLAY,5
62403071-3220-4ae3-97cc-aca9789fe0b7,good,5
e5bb3cff-8989-4aee-b581-ac6b6d1c73a6,pretty cool game!!!!,5
80a7ebad-85d7-42b3-942d-6140d21dc17e,Amazing and Fun!!! Fantastic job,5
8925413b-89d5-4595-a2a0-1960f898a5d2,i like this game,5
7a60d24f-6817-4ff2-8a7a-2614ce2ce7cf,fantastic,5
b17dc03f-d87b-4add-9564-5510d524ddd5,"good game, I hope to make it more harder cause the game is being so easy",5
1ee10053-febe-4390-a52c-cc28272fad97,I love candy crush. been playing it since it first of came out.,5
b7c2aef9-bac7-40e5-a315-e7b3290a69ec,yes I love this game n I hope I could earn money while playing candy crush that would be fun,5
43716801-4227-400f-ac0e-48abd22b0f57,Just Fun,4
bc94e214-b3bc-4c6f-ad5a-7b4533c9f473,I love and my favorite in candy crush,5
ac625842-930f-4609-b002-8f2ebec6135d,so nice game,5
7c963063-5584-4803-a6c0-81b7826a462f,"I enjoy the game, but I made an in app purchase and lost my ability to earn extra boosters watching videos.",3
